id,csv_ingredient,base_type,protein_type,vegetable_type
86,"beans
water
tomato
onion
cooking oil
salt
coriander",,beans,
87,"beans
water
tomato
onion
cooking oil
salt
coriander",,,tomatoes
88,"beans
water
tomato
onion
cooking oil
salt
coriander",,,onions
89,"beans
water
tomato
onion
cooking oil
salt
coriander",,,dhania
90,"lentils
water
onions
tomato
cooking oil
salt",,beans,
91,"lentils
water
onions
tomato
cooking oil
salt",,,tomatoes
92,"lentils
water
onions
tomato
cooking oil
salt",,,onions
93,"green gram
water
onion
tomato
cooking oil
salt",,,tomatoes
94,"green gram
water
onion
tomato
cooking oil
salt",,,onions
95,"beans
water
spring onion
tomato
cooking oil
cow milk",,beans,
96,"beans
water
spring onion
tomato
cooking oil
cow milk",,,tomatoes
97,"beans
water
spring onion
tomato
cooking oil
cow milk",,,onions
98,black beans,,beans,
99,"dolichos 
onions
tomato
cooking oil
salt
water",,,tomatoes
100,"dolichos 
onions
tomato
cooking oil
salt
water",,,onions
101,"pigeon pea
onion
tomatoes
cooking fat
salt
water",,,tomatoes
102,"pigeon pea
onion
tomatoes
cooking fat
salt
water",,,onions
103,"beans
cooking oil
water
salt",,beans,
104,spring onions,,,onions
105,"red sorghum
kidney beans
water
salt
onions
cooking oil",,beans,
106,"red sorghum
kidney beans
water
salt
onions
cooking oil",,,onions
107,"beans kidney
red sorghum flour
teff flour
sukumawiki leaves
salt
ghee
water",chapati,,
108,"beans kidney
red sorghum flour
teff flour
sukumawiki leaves
salt
ghee
water",,beans,
109,"beef
onions
tomato
salt
cooking oil
water",,beef,
110,"beef
onions
tomato
salt
cooking oil
water",,,tomatoes
111,"beef
onions
tomato
salt
cooking oil
water",,,onions
112,"meat goat
onion
tomato
cooking oil
salt
water",,,tomatoes
113,"meat goat
onion
tomato
cooking oil
salt
water",,,onions
114,"beef
water
onions
tomato
cooking oil
salt",,beef,
115,"beef
water
onions
tomato
cooking oil
salt",,,tomatoes
116,"beef
water
onions
tomato
cooking oil
salt",,,onions
117,"beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water",potatoes,,
118,"beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water",,beef,
119,"beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water",,,tomatoes
120,"beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water",,,onions
121,"beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water",,,garlic
122,"beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water",,,ginger
123,"beef
onions
potatoes
tomato
tomato paste
coriander
capsicum
cooking oil
ginger
garlic
salt
pilau masala
maziwa mala
turmeric
water",,,dhania
124,"minced beef
water
onions
tomato
coriander
salt
cooking oil
cumin
curry
Royco-cubes
garlic
rice",rice,,
125,"minced beef
water
onions
tomato
coriander
salt
cooking oil
cumin
curry
Royco-cubes
garlic
rice",,beef,
126,"minced beef
water
onions
tomato
coriander
salt
cooking oil
cumin
curry
Royco-cubes
garlic
rice",,,tomatoes
127,"minced beef
water
onions
tomato
coriander
salt
cooking oil
cumin
curry
Royco-cubes
garlic
rice",,,onions
128,"minced beef
water
onions
tomato
coriander
salt
cooking oil
cumin
curry
Royco-cubes
garlic
rice",,,garlic
129,"minced beef
water
onions
tomato
coriander
salt
cooking oil
cumin
curry
Royco-cubes
garlic
rice",,,dhania
130,"dry fish
tomato
onion
cooking oil
peanut butter
magadi
water",,fish,
131,"dry fish
tomato
onion
cooking oil
peanut butter
magadi
water",,,tomatoes
132,"dry fish
tomato
onion
cooking oil
peanut butter
magadi
water",,,onions
133,"omena fish
onion
water
ghee
salt
tomato
milk
cooking oil",,fish,
134,"omena fish
onion
water
ghee
salt
tomato
milk
cooking oil",,,tomatoes
135,"omena fish
onion
water
ghee
salt
tomato
milk
cooking oil",,,onions
136,"white-rice
king fish
chilli 
turmeric
coriander
cumin
garlic
ginger
green chilli
coriander
mint
yoghurt
anise
clove
cardamom
cinnamon
salt
bay
lemon
cooking oil
water",rice,,
137,"white-rice
king fish
chilli 
turmeric
coriander
cumin
garlic
ginger
green chilli
coriander
mint
yoghurt
anise
clove
cardamom
cinnamon
salt
bay
lemon
cooking oil
water",,fish,
138,"white-rice
king fish
chilli 
turmeric
coriander
cumin
garlic
ginger
green chilli
coriander
mint
yoghurt
anise
clove
cardamom
cinnamon
salt
bay
lemon
cooking oil
water",,,garlic
139,"white-rice
king fish
chilli 
turmeric
coriander
cumin
garlic
ginger
green chilli
coriander
mint
yoghurt
anise
clove
cardamom
cinnamon
salt
bay
lemon
cooking oil
water",,,ginger
140,"white-rice
king fish
chilli 
turmeric
coriander
cumin
garlic
ginger
green chilli
coriander
mint
yoghurt
anise
clove
cardamom
cinnamon
salt
bay
lemon
cooking oil
water",,,dhania
141,"Nile perch fish
onion
tomato
cooking oil
salt
water",,fish,
142,"Nile perch fish
onion
tomato
cooking oil
salt
water",,,tomatoes
143,"Nile perch fish
onion
tomato
cooking oil
salt
water",,,onions
144,"goat meat
onion
tomato
cooking oil
salt",,,tomatoes
145,"goat meat
onion
tomato
cooking oil
salt",,,onions
146,"beef
water
sukuma wiki
salt
chilli
coriander
black pepper
red capsicum
green capsicum
yellow capsicum
onion
tomato
wheat flour
maize flour",ugali,,
147,"beef
water
sukuma wiki
salt
chilli
coriander
black pepper
red capsicum
green capsicum
yellow capsicum
onion
tomato
wheat flour
maize flour",,beef,
148,"beef
water
sukuma wiki
salt
chilli
coriander
black pepper
red capsicum
green capsicum
yellow capsicum
onion
tomato
wheat flour
maize flour",,,sukuma_wiki
149,"beef
water
sukuma wiki
salt
chilli
coriander
black pepper
red capsicum
green capsicum
yellow capsicum
onion
tomato
wheat flour
maize flour",,,tomatoes
150,"beef
water
sukuma wiki
salt
chilli
coriander
black pepper
red capsicum
green capsicum
yellow capsicum
onion
tomato
wheat flour
maize flour",,,onions
